Text,User,Likes,Reposts,Views,Status ID,Date,Platform,Scraped At,Replies,Sentiment
Garda pendidikan dan garda kesehatan Indonesia yg kerap dinomorsekiankan: Exhibit A. Bentar lagi kena ppn 12% pula wkwkwk mantab ,anhtiss,26,9,1300,1859124795709026307,2024-11-20 06:41:06+00:00,twitter,2024-11-21 11:41:11.696421,0,Negative
"Pajak Nordic style, tapi kesejahteraan rakyatnya gak ngikutin negara negara Nordic dan korupsi masih menjamur.

Btw, negara negara Nordik memiliki sistem kesejahteraan sosial, ditandai dengan kebijakan sosial seperti: Pendidikan universal dan gratis untuk semua warga negara,",ggodlife_,37,12,1800,1859031508687962264,2024-11-20 00:30:25+00:00,twitter,2024-11-21 11:41:11.696421,0,Negative
"Biaya sekolah anak SD swasta yg internasional greget banget yaa d Indonesia. . Kudu kerja apa di Indonesia buat biayain yg begini . .. saya d Norway perbulan sekitar 3-4 jutaan buat TK, itupun duidnya kya d balikin lagi d tax refund tahunan. Almost free lah, sampe S3 bahkan.",MN_aliakbar,63,13,1200,1859333510395236737,2024-11-20 20:30:28+00:00,twitter,2024-11-21 11:41:11.696421,0,Negative
"Indonesia tidak pernah menerapkan kurikulum finlandia, karna output pendidikan finland yang sukses maka ingin ditiru indo , TAPI proses penting dibalik keberhasilan finland di skip, maunya instan saja, 
Se IDIOT itu memang pejabat Indonesia, problem solving masih tolol",XRenSteve,19,1,1800,1859156725472936141,2024-11-20 08:47:59+00:00,twitter,2024-11-21 11:41:11.696421,0,Negative
"Katanya nya begitu ... 

""PERANGI HOAKS UNTUK INDONESIA LEBIH HEBAT""

AHMAD SAHRONI

Si ivan sugianto ""katanya"" tukang servis hape
Dalam video ahmad sahroni

Cek pendidikan ivan sugianto  di post brader @LexWu_13

Menurut kami tidak masuk akal.",Opposisi6890,614,232,17000,1859086508457947326,2024-11-20 04:08:58+00:00,twitter,2024-11-21 11:41:11.696421,0,Positive
"Bangga banget sama @prabowo! Dengan pendekatan yang keren, Tiongkok makin yakin buat tingkatkan investasinya di Indonesia. Semangat maju bareng untuk pendidikan dan kesehatan.
https://gsn.id/bertemu-xi-jinping-prabowo-hubungan-indonesia-china-buat-suasana-di-asia-jadi-kondusif/…",gghhjjkk580dr0,8,6,8700,1859163820159361289,2024-11-20 09:16:10+00:00,twitter,2024-11-21 11:41:11.696421,0,Negative
"Latar Belakang Pendidikan Marselino Ferdinan Penerima Beasiswa Unesa, Tampil Menawan di Laga Indonesia VS Arab Saudi

https://disway.id/read/837132/latar-belakang-pendidikan-marselino-ferdinan-penerima-beasiswa-unesa-tampil-menawan-di-laga-indonesia-vs-arab-saudi…
#RadarJabar #indonesiavsarab #marselinoferdinan #GBK #KualifikasiPialaDunia #KingIndo #PakMuh #Marselino",radarjabar_id,1,0,122,1859053798318370834,2024-11-20 01:58:59+00:00,twitter,2024-11-21 11:41:11.696421,0,Negative
"Dua hari mendapat pengalaman mengantarkan Prof. Zainuddin, Rektor UIN Malang, Prof. Nur Ali dan Mba Itha dari UIN Malang untuk bertemu dengan Atase Pendidikan, Perwakilan UNESCO Indonesia dan Direktur SciencesPo, Paris.",harrysofian,14,0,371,1859277284244337026,2024-11-20 16:47:02+00:00,twitter,2024-11-21 11:41:11.696421,0,Negative
"Kerja sama strategis Indonesia-Tiongkok di bawah Presiden @prabowo bikin peluang besar. Investasi di bidang utama kayak pendidikan, kesehatan, dan ekonomi, bikin rakyat makin optimis.
https://gsn.id/prabowo-perusahaan-ri-china-akan-teken-kontrak-us10-miliar/…",griselruiz88,8,7,10000,1859165704202973680,2024-11-20 09:23:40+00:00,twitter,2024-11-21 11:41:11.696421,0,Negative
"Luar biasa era Presiden @prabowo! Tiongkok nggak main-main dukung Indonesia. Investasi besar di sektor penting kayak ekonomi dan pendidikan bikin kita makin percaya diri.
https://gsn.id/prabowo-perusahaan-ri-china-akan-teken-kontrak-us10-miliar/…",gorunbiraz3,8,6,9800,1859170628810793002,2024-11-20 09:43:14+00:00,twitter,2024-11-21 11:41:11.696421,0,Negative
"Sistem Pendidikan Indonesia uda bgus, lebih baik d tingkatkan jangan d mulai dr 0. Pendidikan itu investasi yg membutuhkan waktu untuk menilainya! Scr Ndak sadar, para peserta disitu hasil kurikulum yg dulu d anggap banyak kekurangan.",daudkurniawan17,0,0,47,1859202095167287525,2024-11-20 11:48:16+00:00,twitter,2024-11-21 11:41:11.696421,0,Negative
"Sebetulnya 58% itu representasi minusnya keterjangkauan pendidikan dan edukasi di Indonesia. Persoalan pajak dianggap nomor aekian, sebab yg utama adalah bansos dgn asumsi ""apa yg bisa dimakan hari ini"". Mereka mengira tidak menikmati pajak. Krn selama ini rasanya begitu.",radenmasdimas__,24,7,788,1859089889112789423,2024-11-20 04:22:24+00:00,twitter,2024-11-21 11:41:11.696421,0,Negative
